store, eta, time
3242,13-28,2022-12-24 06:59:16
3228,14-24,2022-12-24 06:59:16
3229,13-23,2022-12-24 06:59:15
3233,18-28,2022-12-24 06:59:16
3237,15-25,2022-12-24 06:59:16
3234,20-30,2022-12-24 06:59:16
3230,20-30,2022-12-24 06:59:15
3243,20-30,2022-12-24 05:59:16
3238,15-30,2022-12-24 06:59:16
3249,15-25,2022-12-24 06:59:16
3246,,2022-12-24 06:59:34
3217,15-25,2022-12-24 05:59:15
3245,17-27,2022-12-24 06:59:16
3236,16-31,2022-12-24 06:59:16
3252,20-30,2022-12-24 06:59:16
3247,20-30,2022-12-24 06:59:16
3251,10-25,2022-12-24 06:59:16
3254,13-23,2022-12-24 06:59:16
3253,30-40,2022-12-24 06:59:16
3258,15-25,2022-12-24 06:59:17
3241,15-25,2022-12-24 06:59:16
3256,15-25,2022-12-24 06:59:17
3260,13-28,2022-12-24 06:59:17
3257,12-24,2022-12-24 06:59:17
3263,15-30,2022-12-24 06:59:17
3259,12-27,2022-12-24 06:59:17
3264,13-23,2022-12-24 06:59:17
3276,15-25,2022-12-24 06:59:17
3267,30-45,2022-12-24 06:59:17
3272,20-35,2022-12-24 06:59:17
3270,15-25,2022-12-24 06:59:17
3273,14-24,2022-12-24 06:59:17
3274,13-28,2022-12-24 06:59:17
3268,13-23,2022-12-24 06:59:17
3271,20-30,2022-12-24 06:59:17
3197,18-28,2022-12-24 06:59:14
3280,13-23,2022-12-24 06:59:17
3283,25-35,2022-12-24 06:59:17
3278,10-20,2022-12-24 06:59:17
3284,20-30,2022-12-24 06:59:17
3282,30-40,2022-12-24 06:59:17
3285,15-25,2022-12-24 06:59:18
3244,24-34,2022-12-24 06:59:16
3255,12-22,2022-12-24 06:59:16
3275,20-30,2022-12-24 06:59:17
3266,35-50,2022-12-24 06:59:17
3289,20-30,2022-12-24 06:59:18
3287,15-25,2022-12-24 06:59:18
3291,25-35,2022-12-24 06:59:18
3293,25-35,2022-12-24 06:59:18
3279,30-40,2022-12-24 06:59:17
3277,20-30,2022-12-24 06:59:17
3295,20-30,2022-12-24 06:59:18
3292,15-25,2022-12-24 06:59:18
3286,14-24,2022-12-24 06:59:18
3294,13-23,2022-12-24 06:59:18
3302,12-22,2022-12-24 06:59:18
3297,20-30,2022-12-24 06:59:18
3304,28-38,2022-12-24 06:59:18
3303,25-35,2022-12-24 06:59:18
3311,15-30,2022-12-24 06:59:18
3299,18-28,2022-12-24 06:59:18
3305,15-25,2022-12-24 06:59:18
3310,30-40,2022-12-24 06:59:18
3313,15-25,2022-12-24 06:59:18
3316,20-30,2022-12-24 06:59:19
3317,17-27,2022-12-24 06:59:19
3314,12-27,2022-12-24 06:59:19
3320,18-28,2022-12-24 06:59:19
3326,14-24,2022-12-24 06:59:19
3321,40-50,2022-12-24 06:59:19
3329,9-19,2022-12-24 06:59:19
3325,26-41,2022-12-24 06:59:19
3324,40-50,2022-12-24 06:59:19
3327,15-25,2022-12-24 06:59:19
3331,15-25,2022-12-24 06:59:19
3300,11-21,2022-12-24 06:59:18
3330,20-30,2022-12-24 06:59:19
3328,20-30,2022-12-24 06:59:19
3333,45-55,2022-12-24 06:59:19
3332,20-30,2022-12-24 06:59:19
3301,25-35,2022-12-24 06:59:18
3335,30-40,2022-12-24 06:59:19
3334,13-23,2022-12-24 06:59:19
3352,20-30,2022-12-24 06:59:20
3345,14-24,2022-12-24 06:59:20
3356,20-30,2022-12-24 06:59:20
3342,15-30,2022-12-24 06:59:20
3338,16-26,2022-12-24 06:59:19
3347,40-45,2022-12-24 06:59:20
3354,30-40,2022-12-24 06:59:20
3337,13-23,2022-12-24 06:59:19
3336,11-21,2022-12-24 06:59:19
3350,20-30,2022-12-24 06:59:20
3360,20-35,2022-12-24 06:59:20
3358,,2022-12-24 06:59:49
3374,10-20,2022-12-24 06:59:20
3361,15-25,2022-12-24 06:59:20
3363,20-30,2022-12-24 06:59:20
3359,13-28,2022-12-24 06:59:20
3377,10-20,2022-12-24 06:59:21
3366,18-28,2022-12-24 06:59:24
3340,40-50,2022-12-24 06:59:19
3379,15-30,2022-12-24 06:59:21
3378,12-22,2022-12-24 06:59:21
3355,20-35,2022-12-24 06:59:20
3357,20-30,2022-12-24 06:59:20
3322,15-25,2022-12-24 06:59:19
3372,20-32,2022-12-24 06:59:20
3384,19-29,2022-12-24 06:59:21
3380,20-30,2022-12-24 06:59:21
3387,17-27,2022-12-24 06:59:21
3386,12-22,2022-12-24 06:59:20
3392,16-31,2022-12-24 06:59:21
3393,13-23,2022-12-24 06:59:21
3390,20-30,2022-12-24 06:59:21
3394,17-27,2022-12-24 06:59:21
3395,12-22,2022-12-24 06:59:21
3401,20-30,2022-12-24 06:59:21
3406,20-35,2022-12-24 06:59:21
3397,30-40,2022-12-24 06:59:21
3404,25-35,2022-12-24 06:59:21
3407,20-35,2022-12-24 06:59:21
3400,20-30,2022-12-24 06:59:21
3408,15-25,2022-12-24 06:59:21
3417,20-30,2022-12-24 06:59:22
3411,15-25,2022-12-24 06:59:22
3402,19-29,2022-12-24 06:59:21
3412,15-25,2022-12-24 06:59:22
3419,15-25,2022-12-24 06:59:22
3415,12-22,2022-12-24 06:59:22
3405,15-30,2022-12-24 06:59:21
3414,12-22,2022-12-24 06:59:22
3416,30-40,2022-12-24 06:59:22
3441,11-21,2022-12-24 06:59:22
3410,20-30,2022-12-24 06:59:21
3424,20-30,2022-12-24 06:59:22
3435,20-35,2022-12-24 06:59:22
3420,15-25,2022-12-24 06:59:22
3429,20-30,2022-12-24 06:59:22
3427,20-30,2022-12-24 06:59:22
3418,20-30,2022-12-24 06:59:22
3436,18-28,2022-12-24 06:59:22
3403,,2022-12-24 06:59:50
3425,30-45,2022-12-24 06:59:22
3437,20-30,2022-12-24 06:59:22
3430,25-35,2022-12-24 06:59:22
3426,15-25,2022-12-24 06:59:22
3445,14-29,2022-12-24 06:59:23
3442,15-25,2022-12-24 06:59:22
3439,20-30,2022-12-24 06:59:22
3434,20-30,2022-12-24 06:59:22
3440,25-35,2022-12-24 06:59:22
3348,20-30,2022-12-24 06:59:20
3339,15-25,2022-12-24 06:59:19
3447,20-30,2022-12-24 06:59:23
3451,11-21,2022-12-24 06:59:23
3443,30-40,2022-12-24 06:59:22
3449,12-22,2022-12-24 06:59:27
3364,18-28,2022-12-24 06:59:20
3444,14-29,2022-12-24 06:59:23
3453,12-27,2022-12-24 06:59:23
3458,14-24,2022-12-24 06:59:23
3457,12-27,2022-12-24 06:59:23
3456,20-30,2022-12-24 06:59:23
3454,30-40,2022-12-24 06:59:23
3461,20-30,2022-12-24 06:59:23
3459,15-25,2022-12-24 06:59:23
3462,30-40,2022-12-24 06:59:23
3474,12-22,2022-12-24 06:59:23
3448,18-28,2022-12-24 06:59:23
3469,20-30,2022-12-24 06:59:23
3452,10-20,2022-12-24 06:59:23
3463,20-30,2022-12-24 06:59:23
3455,20-30,2022-12-24 06:59:23
3480,20-30,2022-12-24 06:59:24
3476,20-30,2022-12-24 06:59:24
3489,15-25,2022-12-24 06:59:24
3471,10-20,2022-12-24 06:59:24
3468,15-25,2022-12-24 06:59:23
3495,14-24,2022-12-24 06:59:24
3485,20-35,2022-12-24 06:59:24
3487,15-25,2022-12-24 06:59:24
3484,20-30,2022-12-24 06:59:24
3486,13-23,2022-12-24 06:59:24
3493,14-24,2022-12-24 06:59:24
3501,15-25,2022-12-24 06:59:24
3488,30-40,2022-12-24 06:59:24
3473,15-25,2022-12-24 06:59:23
3494,19-29,2022-12-24 06:59:24
3497,20-30,2022-12-24 06:59:24
3507,15-25,2022-12-24 06:59:24
3509,12-27,2022-12-24 06:59:24
3505,20-30,2022-12-24 06:59:24
3496,14-24,2022-12-24 06:59:24
3511,30-40,2022-12-24 06:59:25
3510,15-25,2022-12-24 06:59:25
3500,20-30,2022-12-24 06:59:24
3503,20-30,2022-12-24 06:59:24
3502,20-30,2022-12-24 06:59:24
3514,10-25,2022-12-24 06:59:25
3517,16-26,2022-12-24 06:59:25
3513,30-40,2022-12-24 06:59:25
3522,40-50,2022-12-24 06:59:25
3519,20-35,2022-12-24 06:59:25
3515,20-30,2022-12-24 06:59:25
3520,20-30,2022-12-24 06:59:25
3528,12-22,2022-12-24 06:59:25
3523,19-29,2022-12-24 06:59:25
3521,16-26,2022-12-24 06:59:25
3527,14-24,2022-12-24 06:59:25
3516,20-30,2022-12-24 06:59:25
3536,15-25,2022-12-24 06:59:25
3526,12-22,2022-12-24 06:59:25
3539,15-25,2022-12-24 06:59:25
3531,15-25,2022-12-24 06:59:25
3540,20-30,2022-12-24 06:59:25
3534,26-41,2022-12-24 06:59:25
3525,15-25,2022-12-24 06:59:25
3554,13-23,2022-12-24 06:59:26
3551,20-30,2022-12-24 06:59:26
3558,20-30,2022-12-24 06:59:26
3544,14-24,2022-12-24 06:59:25
3555,20-30,2022-12-24 06:59:26
3561,10-20,2022-12-24 06:59:26
3557,15-25,2022-12-24 06:59:26
3550,15-25,2022-12-24 06:59:34
3537,16-26,2022-12-24 06:59:25
3535,30-40,2022-12-24 06:59:25
3545,13-23,2022-12-24 06:59:25
3529,17-27,2022-12-24 06:59:25
3560,14-24,2022-12-24 06:59:26
3552,20-30,2022-12-24 06:59:26
3567,15-25,2022-12-24 06:59:26
3571,15-25,2022-12-24 06:59:26
3564,14-24,2022-12-24 06:59:26
3566,15-25,2022-12-24 06:59:26
3572,20-30,2022-12-24 06:59:26
3574,15-25,2022-12-24 06:59:27
3578,20-30,2022-12-24 06:59:26
3575,15-25,2022-12-24 06:59:27
3562,13-23,2022-12-24 06:59:26
3569,10-20,2022-12-24 06:59:26
3570,20-35,2022-12-24 06:59:26
3583,20-30,2022-12-24 06:59:27
3577,20-30,2022-12-24 06:59:27
3590,20-30,2022-12-24 06:59:27
3587,13-23,2022-12-24 06:59:27
3591,15-25,2022-12-24 06:59:27
3582,15-25,2022-12-24 06:59:27
3593,15-25,2022-12-24 06:59:27
3565,,2022-12-24 06:59:55
3568,18-28,2022-12-24 06:59:26
3576,20-30,2022-12-24 06:59:26
3584,12-22,2022-12-24 06:59:27
3602,10-20,2022-12-24 06:59:27
3601,12-22,2022-12-24 06:59:27
3586,20-30,2022-12-24 06:59:27
3581,17-27,2022-12-24 06:59:27
3596,13-23,2022-12-24 06:59:27
3595,16-26,2022-12-24 06:59:27
3603,14-24,2022-12-24 06:59:27
3605,13-23,2022-12-24 06:59:27
3604,10-20,2022-12-24 06:59:27
3597,28-33,2022-12-24 06:59:27
3607,9-19,2022-12-24 06:59:27
3609,20-30,2022-12-24 06:59:27
3616,20-21,2022-12-24 06:59:27
3617,15-30,2022-12-24 06:59:28
3622,20-30,2022-12-24 06:59:28
3623,10-20,2022-12-24 06:59:28
3612,17-27,2022-12-24 06:59:27
3624,20-30,2022-12-24 06:59:28
3626,15-25,2022-12-24 06:59:28
3630,20-30,2022-12-24 06:59:28
3628,15-25,2022-12-24 06:59:28
3625,20-30,2022-12-24 06:59:28
3636,15-25,2022-12-24 06:59:28
3631,15-25,2022-12-24 06:59:28
3635,11-21,2022-12-24 06:59:28
3634,15-30,2022-12-24 06:59:28
3633,12-22,2022-12-24 06:59:28
3637,15-25,2022-12-24 06:59:28
3640,30-40,2022-12-24 06:59:28
3643,27-37,2022-12-24 06:59:28
3639,14-29,2022-12-24 06:59:28
3645,22-32,2022-12-24 06:59:28
3644,13-23,2022-12-24 06:59:28
3649,2-12,2022-12-24 06:59:29
3646,20-30,2022-12-24 06:59:29
3647,15-25,2022-12-24 06:59:29
3650,13-23,2022-12-24 06:59:28
3651,30-40,2022-12-24 06:59:29
3621,20-30,2022-12-24 06:59:28
3652,20-30,2022-12-24 06:59:29
3660,15-25,2022-12-24 06:59:29
3653,50-60,2022-12-24 06:59:29
3655,13-23,2022-12-24 06:59:29
3656,20-30,2022-12-24 06:59:29
3654,14-24,2022-12-24 06:59:29
3659,45-55,2022-12-24 06:59:29
3665,15-25,2022-12-24 06:59:29
3657,12-22,2022-12-24 06:59:29
3667,70-80,2022-12-24 06:59:29
3673,12-22,2022-12-24 06:59:29
3678,15-25,2022-12-24 06:59:30
3676,10-20,2022-12-24 06:59:29
3675,9-19,2022-12-24 06:59:29
3670,12-17,2022-12-24 06:59:29
3677,75-85,2022-12-24 06:59:30
3669,35-45,2022-12-24 06:59:29
3679,15-25,2022-12-24 06:59:29
3681,20-30,2022-12-24 06:59:30
3668,30-40,2022-12-24 06:59:29
3684,30-40,2022-12-24 06:59:30
3682,20-30,2022-12-24 06:59:30
3688,20-30,2022-12-24 06:59:29
3687,20-30,2022-12-24 06:59:30
3680,12-22,2022-12-24 06:59:29
3683,20-30,2022-12-24 06:59:30
3689,25-35,2022-12-24 06:59:30
3686,18-28,2022-12-24 06:59:30
3693,15-25,2022-12-24 06:59:30
3694,,2022-12-24 06:59:59
3691,14-24,2022-12-24 06:59:30
3700,20-30,2022-12-24 06:59:30
3685,15-25,2022-12-24 06:59:30
3695,20-30,2022-12-24 06:59:30
3692,20-30,2022-12-24 06:59:30
3698,17-27,2022-12-24 06:59:30
3705,20-30,2022-12-24 06:59:30
3703,15-18,2022-12-24 06:59:30
3701,20-30,2022-12-24 06:59:30
3710,30-40,2022-12-24 06:59:31
3713,20-30,2022-12-24 06:59:31
3712,20-30,2022-12-24 06:59:31
3716,15-25,2022-12-24 06:59:31
3708,20-35,2022-12-24 06:59:30
3706,20-30,2022-12-24 06:59:30
3707,20-35,2022-12-24 06:59:30
3715,20-35,2022-12-24 06:59:31
3714,20-35,2022-12-24 06:59:31
3717,20-30,2022-12-24 06:59:31
3719,20-30,2022-12-24 06:59:31
3722,20-30,2022-12-24 06:59:31
3720,63-73,2022-12-24 06:59:31
3721,18-28,2022-12-24 06:59:31
3718,15-25,2022-12-24 06:59:31
3725,20-35,2022-12-24 06:59:31
3726,15-25,2022-12-24 06:59:31
3723,15-25,2022-12-24 06:59:31
3731,15-25,2022-12-24 06:59:31
3734,15-25,2022-12-24 06:59:31
3736,20-30,2022-12-24 06:59:32
3730,20-35,2022-12-24 06:59:31
3739,15-25,2022-12-24 06:59:32
3742,20-30,2022-12-24 06:59:32
3733,16-26,2022-12-24 06:59:31
3744,15-25,2022-12-24 06:59:32
3737,15-25,2022-12-24 06:59:32
3743,20-30,2022-12-24 06:59:32
3738,30-45,2022-12-24 06:59:32
3732,15-25,2022-12-24 06:59:31
3741,15-25,2022-12-24 06:59:32
3745,15-25,2022-12-24 06:59:32
3746,20-35,2022-12-24 06:59:32
3729,15-25,2022-12-24 06:59:31
3748,20-30,2022-12-24 06:59:32
3747,25-40,2022-12-24 06:59:32
3756,15-25,2022-12-24 06:59:32
3755,25-35,2022-12-24 06:59:32
3760,15-25,2022-12-24 06:59:32
3750,14-24,2022-12-24 06:59:32
3751,20-35,2022-12-24 06:59:32
3749,25-40,2022-12-24 06:59:32
3759,15-30,2022-12-24 06:59:32
3752,20-30,2022-12-24 06:59:32
3758,10-25,2022-12-24 06:59:36
3757,13-28,2022-12-24 06:59:32
3761,20-25,2022-12-24 06:59:33
3763,20-30,2022-12-24 06:59:33
3764,15-25,2022-12-24 06:59:32
3772,24-34,2022-12-24 06:59:33
3768,20-30,2022-12-24 06:59:33
3765,14-24,2022-12-24 06:59:33
3770,15-25,2022-12-24 06:59:33
3771,20-35,2022-12-24 06:59:33
3775,20-30,2022-12-24 06:59:33
3762,20-30,2022-12-24 06:59:32
3767,15-25,2022-12-24 06:59:33
3769,20-35,2022-12-24 06:59:33
3773,20-35,2022-12-24 06:59:33
3766,30-40,2022-12-24 06:59:33
3779,10-20,2022-12-24 06:59:33
3778,15-25,2022-12-24 06:59:33
3774,20-35,2022-12-24 06:59:33
3783,15-25,2022-12-24 06:59:33
3777,20-30,2022-12-24 06:59:33
3789,25-40,2022-12-24 06:59:34
3782,19-29,2022-12-24 06:59:33
3792,20-30,2022-12-24 06:59:34
3788,20-30,2022-12-24 06:59:34
3793,30-45,2022-12-24 06:59:34
3784,15-25,2022-12-24 06:59:33
3791,20-30,2022-12-24 06:59:34
3785,13-28,2022-12-24 06:59:33
3790,20-30,2022-12-24 06:59:34
3787,13-23,2022-12-24 06:59:33
3796,20-30,2022-12-24 06:59:34
3794,30-40,2022-12-24 06:59:34
3797,15-30,2022-12-24 06:59:34
3795,20-30,2022-12-24 06:59:34
3802,15-30,2022-12-24 05:59:34
3800,14-24,2022-12-24 06:59:34
3805,13-18,2022-12-24 06:59:34
3809,12-22,2022-12-24 06:59:34
3803,15-25,2022-12-24 06:59:34
3801,15-25,2022-12-24 06:59:34
3812,20-30,2022-12-24 06:59:34
3808,20-35,2022-12-24 06:59:35
3811,21-31,2022-12-24 06:59:34
3806,20-30,2022-12-24 06:59:34
3813,,2022-12-24 07:00:03
3810,12-24,2022-12-24 06:59:34
3814,40-50,2022-12-24 06:59:35
3815,15-25,2022-12-24 06:59:35
3817,20-30,2022-12-24 06:59:35
3822,15-25,2022-12-24 06:59:35
3821,12-22,2022-12-24 06:59:35
3824,15-25,2022-12-24 06:59:39
3819,15-25,2022-12-24 06:59:35
3827,18-28,2022-12-24 06:59:35
3828,15-25,2022-12-24 06:59:35
3829,15-25,2022-12-24 06:59:35
3833,15-25,2022-12-24 06:59:35
3832,13-23,2022-12-24 06:59:35
3831,20-30,2022-12-24 06:59:35
3830,13-23,2022-12-24 06:59:35
3836,15-25,2022-12-24 06:59:36
3834,20-35,2022-12-24 06:59:36
3820,14-24,2022-12-24 06:59:35
3835,15-25,2022-12-24 06:59:36
3839,20-30,2022-12-24 06:59:36
3838,21-31,2022-12-24 06:59:36
3837,20-35,2022-12-24 05:59:36
3840,13-23,2022-12-24 06:59:36
3826,15-25,2022-12-24 06:59:35
3844,20-30,2022-12-24 06:59:36
3843,20-30,2022-12-24 06:59:36
3841,15-30,2022-12-24 06:59:36
3849,20-30,2022-12-24 06:59:36
3842,15-25,2022-12-24 06:59:36
3850,20-35,2022-12-24 06:59:36
3845,15-30,2022-12-24 06:59:36
3852,20-30,2022-12-24 06:59:36
3848,12-27,2022-12-24 06:59:36
3851,15-25,2022-12-24 06:59:36
3854,15-25,2022-12-24 05:59:36
3858,20-30,2022-12-24 06:59:36
3825,20-30,2022-12-24 06:59:35
3823,15-25,2022-12-24 06:59:35
3856,20-30,2022-12-24 05:59:36
3859,13-23,2022-12-24 06:59:36
3857,15-25,2022-12-24 06:59:36
3865,30-40,2022-12-24 05:59:37
3862,15-25,2022-12-24 06:59:36
3870,20-30,2022-12-24 06:59:37
3866,,2022-12-24 07:00:05
3867,20-35,2022-12-24 05:59:37
3873,15-30,2022-12-24 05:59:37
3872,20-30,2022-12-24 06:59:37
3863,12-22,2022-12-24 06:59:36
3871,15-25,2022-12-24 06:59:37
3869,15-25,2022-12-24 06:59:37
3864,15-25,2022-12-24 06:59:39
3860,15-25,2022-12-24 05:59:36
3875,20-30,2022-12-24 06:59:37
3877,10-25,2022-12-24 06:59:37
3874,,2022-12-24 07:00:06
3878,13-23,2022-12-24 06:59:37
3886,25-35,2022-12-24 06:59:37
3893,20-30,2022-12-24 06:59:38
3900,15-25,2022-12-24 06:59:38
3891,20-30,2022-12-24 06:59:38
3889,15-30,2022-12-24 06:59:38
3890,15-25,2022-12-24 06:59:38
3894,12-22,2022-12-24 06:59:38
3903,20-30,2022-12-24 06:59:38
3911,20-30,2022-12-24 06:59:38
3910,30-40,2022-12-24 06:59:38
3906,20-30,2022-12-24 06:59:38
3907,25-35,2022-12-24 06:59:38
3882,15-25,2022-12-24 05:59:37
3883,20-30,2022-12-24 06:59:37
3904,24-34,2022-12-24 06:59:38
3909,20-30,2022-12-24 06:59:38
3881,13-27,2022-12-24 06:59:37
3914,25-35,2022-12-24 06:59:38
3885,23-38,2022-12-24 06:59:37
3879,15-25,2022-12-24 06:59:37
3905,20-30,2022-12-24 06:59:38
3880,20-30,2022-12-24 06:59:37
3876,20-30,2022-12-24 06:59:37
3892,20-30,2022-12-24 06:59:38
3917,15-25,2022-12-24 06:59:39
3913,20-30,2022-12-24 06:59:38
3916,20-30,2022-12-24 06:59:38
3920,20-30,2022-12-24 06:59:39
3924,20-30,2022-12-24 06:59:39
3918,10-25,2022-12-24 06:59:39
3888,18-28,2022-12-24 06:59:37
3901,20-30,2022-12-24 06:59:38
3919,20-30,2022-12-24 06:59:39
3902,25-35,2022-12-24 06:59:38
3884,15-25,2022-12-24 06:59:37
3921,20-30,2022-12-24 06:59:39
3925,16-26,2022-12-24 06:59:39
3926,20-30,2022-12-24 06:59:39
3915,20-30,2022-12-24 06:59:38
3932,15-15,2022-12-24 06:59:39
3931,20-30,2022-12-24 06:59:39
3928,30-40,2022-12-24 06:59:39
3929,20-30,2022-12-24 06:59:39
3927,18-33,2022-12-24 06:59:39
3936,15-25,2022-12-24 06:59:39
3935,20-30,2022-12-24 06:59:39
3930,20-30,2022-12-24 06:59:39
3938,25-35,2022-12-24 06:59:39
3941,20-30,2022-12-24 06:59:39
3937,20-30,2022-12-24 06:59:39
3940,25-34,2022-12-24 06:59:39
3942,20-35,2022-12-24 06:59:39
3943,15-25,2022-12-24 06:59:39
3948,15-30,2022-12-24 06:59:40
3945,30-40,2022-12-24 06:59:40
3955,14-24,2022-12-24 06:59:40
3956,11-21,2022-12-24 06:59:40
3957,15-25,2022-12-24 06:59:40
3950,20-35,2022-12-24 06:59:40
3946,20-30,2022-12-24 06:59:39
3958,20-30,2022-12-24 06:59:40
3944,15-25,2022-12-24 06:59:41
3959,12-22,2022-12-24 06:59:44
3960,15-25,2022-12-24 06:59:40
3961,15-25,2022-12-24 06:59:40
3967,20-30,2022-12-24 06:59:40
3965,15-25,2022-12-24 06:59:40
3951,20-35,2022-12-24 06:59:40
3963,20-30,2022-12-24 06:59:40
3969,25-33,2022-12-24 06:59:40
3970,17-27,2022-12-24 06:59:40
3973,15-25,2022-12-24 06:59:40
3976,13-23,2022-12-24 06:59:41
3968,20-30,2022-12-24 06:59:40
3975,20-30,2022-12-24 06:59:41
3972,11-21,2022-12-24 06:59:40
3979,14-29,2022-12-24 06:59:41
3971,20-30,2022-12-24 06:59:40
3974,13-23,2022-12-24 06:59:40
3982,13-28,2022-12-24 06:59:41
3984,14-24,2022-12-24 06:59:41
3977,20-30,2022-12-24 06:59:41
3981,20-30,2022-12-24 06:59:41
3987,14-24,2022-12-24 06:59:41
3986,10-25,2022-12-24 06:59:41
3980,15-25,2022-12-24 06:59:41
3988,20-30,2022-12-24 06:59:41
3989,20-30,2022-12-24 06:59:41
3985,12-22,2022-12-24 06:59:41
3990,20-30,2022-12-24 06:59:41
3897,20-20,2022-12-24 06:59:38
3991,20-30,2022-12-24 06:59:41
3992,17-27,2022-12-24 06:59:41
3997,30-35,2022-12-24 06:59:41
3995,17-27,2022-12-24 06:59:41
3993,20-30,2022-12-24 06:59:41
3996,20-35,2022-12-24 06:59:41
3998,20-30,2022-12-24 06:59:41
3999,20-30,2022-12-24 06:59:41
4002,30-40,2022-12-24 06:59:42
4003,30-40,2022-12-24 06:59:42
4005,25-35,2022-12-24 06:59:42
4000,20-35,2022-12-24 06:59:41
4001,10-20,2022-12-24 06:59:42
4010,15-25,2022-12-24 06:59:42
4011,20-30,2022-12-24 06:59:42
4007,25-35,2022-12-24 06:59:42
4009,20-31,2022-12-24 06:59:42
4020,20-30,2022-12-24 06:59:42
4030,20-30,2022-12-24 06:59:42
4027,28-38,2022-12-24 06:59:42
4029,15-25,2022-12-24 06:59:42
4024,20-30,2022-12-24 06:59:42
4015,20-30,2022-12-24 06:59:42
4035,15-25,2022-12-24 06:59:42
4036,15-25,2022-12-24 06:59:42
4033,10-20,2022-12-24 06:59:42
4041,15-25,2022-12-24 06:59:43
4039,18-33,2022-12-24 06:59:42
4046,12-22,2022-12-24 06:59:43
4044,20-30,2022-12-24 06:59:43
4050,20-30,2022-12-24 06:59:43
4052,15-25,2022-12-24 06:59:43
4042,20-30,2022-12-24 06:59:42
4053,20-30,2022-12-24 06:59:43
4051,30-40,2022-12-24 06:59:43
4058,20-30,2022-12-24 06:59:43
4059,18-31,2022-12-24 06:59:43
4055,30-40,2022-12-24 06:59:43
4060,18-24,2022-12-24 06:59:43
4065,20-30,2022-12-24 06:59:43
4062,12-22,2022-12-24 06:59:43
4068,35-45,2022-12-24 06:59:43
4070,40-50,2022-12-24 06:59:43
4047,12-22,2022-12-24 06:59:43
4069,19-29,2022-12-24 06:59:43
4012,20-30,2022-12-24 06:59:42
4025,18-28,2022-12-24 06:59:42
4072,25-35,2022-12-24 06:59:43
4071,15-25,2022-12-24 06:59:43
4073,15-25,2022-12-24 06:59:43
4075,12-22,2022-12-24 06:59:43
4074,20-30,2022-12-24 06:59:43
4079,15-25,2022-12-24 06:59:44
4076,20-30,2022-12-24 06:59:43
4081,20-30,2022-12-24 06:59:44
4084,15-25,2022-12-24 06:59:44
4080,15-25,2022-12-24 06:59:44
4082,15-25,2022-12-24 06:59:44
4083,15-25,2022-12-24 06:59:44
4087,15-25,2022-12-24 06:59:44
4091,15-25,2022-12-24 06:59:44
4085,20-30,2022-12-24 06:59:44
4088,20-30,2022-12-24 06:59:44
4086,18-33,2022-12-24 06:59:44
4096,20-30,2022-12-24 06:59:44
4093,30-40,2022-12-24 06:59:44
4092,15-25,2022-12-24 06:59:44
4100,20-30,2022-12-24 06:59:44
4106,20-30,2022-12-24 06:59:44
4097,14-29,2022-12-24 06:59:44
4101,15-25,2022-12-24 06:59:44
4105,15-25,2022-12-24 06:59:44
4108,15-25,2022-12-24 06:59:44
4112,15-25,2022-12-24 06:59:45
4117,20-30,2022-12-24 06:59:45
4123,20-30,2022-12-24 06:59:45
4127,15-25,2022-12-24 06:59:45
4110,15-25,2022-12-24 06:59:44
4122,15-25,2022-12-24 06:59:45
4113,12-22,2022-12-24 06:59:45
4109,25-35,2022-12-24 06:59:45
4125,14-24,2022-12-24 06:59:45
4114,15-25,2022-12-24 06:59:45
4111,15-25,2022-12-24 06:59:45
4119,25-40,2022-12-24 06:59:45
4116,15-25,2022-12-24 06:59:45
4121,15-25,2022-12-24 06:59:45
4126,20-30,2022-12-24 06:59:45
4128,20-30,2022-12-24 06:59:45
4134,14-24,2022-12-24 06:59:45
4142,20-30,2022-12-24 06:59:46
4133,15-25,2022-12-24 06:59:45
4138,20-30,2022-12-24 06:59:45
4135,20-30,2022-12-24 06:59:45
4129,14-24,2022-12-24 06:59:45
4130,15-25,2022-12-24 06:59:45
4131,18-28,2022-12-24 06:59:45
4132,17-27,2022-12-24 06:59:45
4139,15-25,2022-12-24 06:59:45
4143,14-24,2022-12-24 06:59:46
4146,20-35,2022-12-24 06:59:46
4145,30-40,2022-12-24 06:59:46
4144,15-25,2022-12-24 06:59:46
4141,2-12,2022-12-24 06:59:46
4149,15-25,2022-12-24 06:59:46
4147,9-19,2022-12-24 06:59:46
4156,13-23,2022-12-24 06:59:46
4151,12-22,2022-12-24 06:59:46
4148,20-30,2022-12-24 06:59:46
4153,20-30,2022-12-24 06:59:46
4150,13-23,2022-12-24 06:59:46
4155,9-19,2022-12-24 06:59:46
4154,9-19,2022-12-24 06:59:46
4158,20-30,2022-12-24 06:59:46
4159,15-25,2022-12-24 06:59:46
4160,14-29,2022-12-24 06:59:46
4166,20-30,2022-12-24 06:59:47
4172,20-30,2022-12-24 06:59:47
4140,15-25,2022-12-24 06:59:46
4169,15-25,2022-12-24 06:59:47
4174,19-29,2022-12-24 06:59:47
4184,10-20,2022-12-24 06:59:47
4181,12-22,2022-12-24 06:59:47
4187,15-25,2022-12-24 06:59:47
4180,10-20,2022-12-24 06:59:47
4165,12-22,2022-12-24 06:59:47
4163,18-28,2022-12-24 06:59:46
4170,15-25,2022-12-24 06:59:47
4162,17-27,2022-12-24 06:59:46
