store, eta, time
1307,15-25,2022-12-24 06:58:18
1352,15-25,2022-12-24 06:58:19
1351,15-25,2022-12-24 06:58:19
1360,20-30,2022-12-24 06:58:19
1363,20-30,2022-12-24 06:58:19
1356,30-40,2022-12-24 06:58:19
1366,20-30,2022-12-24 06:58:19
1365,16-26,2022-12-24 06:58:19
1353,15-25,2022-12-24 06:58:19
1375,15-25,2022-12-24 06:58:20
1362,20-30,2022-12-24 06:58:19
1361,20-30,2022-12-24 06:58:19
1371,15-25,2022-12-24 05:58:20
1315,20-30,2022-12-24 06:58:18
1369,15-25,2022-12-24 06:58:20
1333,20-30,2022-12-24 06:58:18
1346,40-50,2022-12-24 06:58:19
1370,16-26,2022-12-24 06:58:20
1373,12-22,2022-12-24 06:58:20
1376,10-20,2022-12-24 06:58:20
1377,20-30,2022-12-24 06:58:20
1374,20-30,2022-12-24 06:58:20
1367,15-25,2022-12-24 06:58:20
1382,30-40,2022-12-24 05:58:20
1381,20-30,2022-12-24 05:58:20
1378,15-25,2022-12-24 05:58:20
1380,15-25,2022-12-24 05:58:20
1383,30-40,2022-12-24 05:58:20
1384,15-25,2022-12-24 06:58:20
1330,45-55,2022-12-24 06:58:18
1386,30-40,2022-12-24 05:58:20
1385,15-25,2022-12-24 06:58:20
1390,15-25,2022-12-24 06:58:20
1359,15-25,2022-12-24 06:58:19
1389,,2022-12-24 05:58:41
1402,15-25,2022-12-24 06:58:20
1407,35-45,2022-12-24 06:58:21
1403,12-22,2022-12-24 06:58:21
1391,20-30,2022-12-24 06:58:20
1394,15-25,2022-12-24 06:58:20
1405,13-23,2022-12-24 06:58:21
1401,10-20,2022-12-24 06:58:20
1406,35-45,2022-12-24 06:58:21
1408,13-28,2022-12-24 06:58:21
1404,10-20,2022-12-24 06:58:20
1410,15-25,2022-12-24 06:58:21
1415,25-35,2022-12-24 06:58:21
1416,15-25,2022-12-24 06:58:21
1409,25-35,2022-12-24 06:58:21
1417,15-25,2022-12-24 06:58:21
1418,12-22,2022-12-24 06:58:21
1414,13-23,2022-12-24 06:58:21
1420,12-22,2022-12-24 05:58:21
1423,25-35,2022-12-24 06:58:21
1413,20-30,2022-12-24 06:58:21
1426,25-35,2022-12-24 06:58:21
1421,25-35,2022-12-24 06:58:21
1425,11-21,2022-12-24 06:58:21
1422,25-35,2022-12-24 06:58:21
1434,14-24,2022-12-24 06:58:22
1427,25-35,2022-12-24 06:58:22
1428,20-30,2022-12-24 06:58:22
1429,25-35,2022-12-24 06:58:22
1438,15-25,2022-12-24 06:58:22
1431,25-35,2022-12-24 06:58:22
1436,25-35,2022-12-24 06:58:22
1446,20-20,2022-12-24 06:58:22
1440,15-25,2022-12-24 06:58:22
1433,25-35,2022-12-24 06:58:22
1445,15-25,2022-12-24 06:58:22
1437,15-25,2022-12-24 06:58:22
1432,25-35,2022-12-24 06:58:22
1430,11-21,2022-12-24 06:58:22
1453,10-20,2022-12-24 05:58:23
1452,18-28,2022-12-24 06:58:22
1455,14-24,2022-12-24 05:58:23
1449,20-30,2022-12-24 06:58:22
1435,25-35,2022-12-24 06:58:22
1441,15-25,2022-12-24 06:58:22
1447,16-26,2022-12-24 06:58:22
1454,12-22,2022-12-24 05:58:23
1456,13-23,2022-12-24 05:58:23
1450,20-30,2022-12-24 06:58:22
1451,15-25,2022-12-24 06:58:22
1462,15-25,2022-12-24 06:58:23
1461,15-25,2022-12-24 06:58:23
1460,15-25,2022-12-24 05:58:23
1464,25-35,2022-12-24 06:58:23
1474,20-30,2022-12-24 06:58:23
1490,15-25,2022-12-24 05:58:24
1479,20-30,2022-12-24 06:58:23
1444,15-25,2022-12-24 06:58:22
1465,15-25,2022-12-24 06:58:23
1487,25-35,2022-12-24 05:58:23
1457,15-25,2022-12-24 05:58:23
1488,30-40,2022-12-24 05:58:23
1500,20-30,2022-12-24 05:58:24
1458,13-23,2022-12-24 05:58:23
1495,20-30,2022-12-24 06:58:24
1492,35-45,2022-12-24 05:58:23
1496,40-50,2022-12-24 05:58:24
1459,15-25,2022-12-24 06:58:23
1470,40-50,2022-12-24 06:58:23
1485,20-30,2022-12-24 06:58:23
1491,15-25,2022-12-24 05:58:24
1480,20-30,2022-12-24 06:58:23
1502,25-35,2022-12-24 05:58:24
1504,25-35,2022-12-24 05:58:24
1483,13-23,2022-12-24 06:58:23
1471,16-26,2022-12-24 06:58:23
1501,20-30,2022-12-24 05:58:24
1489,30-40,2022-12-24 05:58:23
1503,25-35,2022-12-24 05:58:24
1507,20-30,2022-12-24 05:58:24
1506,25-35,2022-12-24 05:58:26
1508,15-25,2022-12-24 05:58:24
1505,25-35,2022-12-24 05:58:24
1509,25-32,2022-12-24 05:58:24
1517,20-30,2022-12-24 05:58:25
1512,20-30,2022-12-24 05:58:24
1511,25-35,2022-12-24 05:58:24
1515,30-37,2022-12-24 05:58:24
1510,20-25,2022-12-24 05:58:24
1516,12-22,2022-12-24 05:58:24
1520,25-35,2022-12-24 05:58:25
1519,30-40,2022-12-24 05:58:25
1523,15-30,2022-12-24 05:58:25
1522,15-20,2022-12-24 05:58:25
1518,25-32,2022-12-24 05:58:25
1526,15-20,2022-12-24 05:58:25
1524,20-30,2022-12-24 05:58:25
1514,15-25,2022-12-24 05:58:24
1525,20-35,2022-12-24 05:58:25
1534,20-30,2022-12-24 05:58:25
1527,15-20,2022-12-24 05:58:25
1530,14-24,2022-12-24 05:58:25
1529,15-20,2022-12-24 05:58:25
1532,14-24,2022-12-24 05:58:25
1535,20-30,2022-12-24 05:58:25
1536,20-30,2022-12-24 05:58:25
1538,20-30,2022-12-24 05:58:25
1537,16-26,2022-12-24 05:58:25
1543,15-30,2022-12-24 05:58:25
1542,15-25,2022-12-24 05:58:25
1540,20-30,2022-12-24 05:58:25
1545,20-30,2022-12-24 05:58:26
1544,15-25,2022-12-24 05:58:26
1548,25-35,2022-12-24 05:58:26
1549,20-30,2022-12-24 05:58:26
1550,18-28,2022-12-24 05:58:26
1547,21-31,2022-12-24 05:58:26
1553,20-30,2022-12-24 05:58:26
1551,20-30,2022-12-24 05:58:26
1554,20-30,2022-12-24 05:58:26
1555,20-30,2022-12-24 05:58:26
1559,25-32,2022-12-24 05:58:26
1560,20-30,2022-12-24 05:58:26
1557,13-23,2022-12-24 05:58:26
1552,13-23,2022-12-24 05:58:26
1565,15-25,2022-12-24 05:58:26
1562,25-35,2022-12-24 05:58:26
1561,25-35,2022-12-24 05:58:26
1546,20-30,2022-12-24 05:58:25
1563,20-30,2022-12-24 05:58:26
1566,24-34,2022-12-24 05:58:26
1567,16-26,2022-12-24 05:58:27
1568,20-30,2022-12-24 05:58:26
1571,15-25,2022-12-24 05:58:27
1572,12-22,2022-12-24 05:58:27
1570,,2022-12-24 05:58:55
1569,20-30,2022-12-24 05:58:27
1574,15-25,2022-12-24 05:58:27
1575,12-17,2022-12-24 05:58:27
1577,20-30,2022-12-24 05:58:27
1556,25-32,2022-12-24 05:58:26
1558,25-35,2022-12-24 05:58:26
1578,20-30,2022-12-24 05:58:27
1579,20-30,2022-12-24 05:58:27
1576,30-40,2022-12-24 05:58:27
1580,20-30,2022-12-24 05:58:27
1583,20-30,2022-12-24 05:58:27
1586,18-23,2022-12-24 05:58:27
1581,13-23,2022-12-24 05:58:27
1584,20-25,2022-12-24 05:58:27
1588,20-30,2022-12-24 05:58:27
1591,12-17,2022-12-24 05:58:28
1589,15-20,2022-12-24 05:58:27
1585,20-25,2022-12-24 05:58:27
1582,15-20,2022-12-24 05:58:27
1590,14-24,2022-12-24 05:58:27
1592,14-24,2022-12-24 05:58:27
1594,15-20,2022-12-24 05:58:27
1587,10-20,2022-12-24 05:58:27
1593,20-30,2022-12-24 05:58:28
1600,15-30,2022-12-24 05:58:28
1602,25-35,2022-12-24 05:58:28
1603,10-20,2022-12-24 05:58:28
1604,25-35,2022-12-24 05:58:28
1606,16-26,2022-12-24 05:58:28
1605,15-20,2022-12-24 05:58:28
1608,20-30,2022-12-24 05:58:28
1607,15-20,2022-12-24 05:58:28
1601,20-30,2022-12-24 05:58:28
1610,20-30,2022-12-24 05:58:28
1612,15-25,2022-12-24 05:58:28
1616,11-21,2022-12-24 05:58:28
1613,20-30,2022-12-24 05:58:28
1619,25-35,2022-12-24 05:58:28
1620,15-25,2022-12-24 05:58:28
1618,30-40,2022-12-24 05:58:28
1622,20-30,2022-12-24 05:58:29
1624,14-24,2022-12-24 05:58:29
1625,20-30,2022-12-24 05:58:29
1615,25-34,2022-12-24 05:58:28
1626,30-40,2022-12-24 05:58:29
1627,20-30,2022-12-24 05:58:29
1628,15-25,2022-12-24 05:58:29
1629,20-30,2022-12-24 05:58:29
1631,20-30,2022-12-24 05:58:29
1630,23-33,2022-12-24 05:58:29
1632,20-30,2022-12-24 05:58:29
1634,15-30,2022-12-24 05:58:29
1633,15-25,2022-12-24 05:58:29
1640,25-35,2022-12-24 05:58:29
1639,15-25,2022-12-24 05:58:29
1635,15-24,2022-12-24 05:58:29
1611,15-25,2022-12-24 05:58:28
1641,15-25,2022-12-24 05:58:29
1642,20-30,2022-12-24 05:58:29
1643,20-30,2022-12-24 05:58:29
1646,14-24,2022-12-24 05:58:29
1644,14-24,2022-12-24 05:58:29
1645,20-30,2022-12-24 05:58:29
1677,20-30,2022-12-24 05:58:30
1649,25-34,2022-12-24 05:58:29
1682,13-22,2022-12-24 05:58:30
1679,10-19,2022-12-24 05:58:30
1621,20-30,2022-12-24 05:58:29
1686,30-40,2022-12-24 05:58:30
1685,14-24,2022-12-24 05:58:30
1684,15-25,2022-12-24 05:58:30
1678,14-24,2022-12-24 05:58:30
1696,13-23,2022-12-24 05:58:30
1688,15-25,2022-12-24 05:58:30
1694,20-30,2022-12-24 05:58:30
1687,20-30,2022-12-24 05:58:30
1690,15-25,2022-12-24 05:58:30
1702,20-30,2022-12-24 05:58:30
1693,20-30,2022-12-24 05:58:30
1691,25-35,2022-12-24 05:58:30
1692,20-30,2022-12-24 05:58:30
1704,28-38,2022-12-24 05:58:30
1700,20-30,2022-12-24 05:58:30
1705,14-24,2022-12-24 05:58:31
1695,20-30,2022-12-24 05:58:30
1703,24-36,2022-12-24 05:58:30
1707,20-35,2022-12-24 05:58:31
1706,16-26,2022-12-24 06:58:30
1711,15-25,2022-12-24 05:58:31
1713,20-30,2022-12-24 05:58:31
1714,20-30,2022-12-24 05:58:31
1715,20-30,2022-12-24 05:58:31
1719,20-30,2022-12-24 05:58:31
1722,20-30,2022-12-24 05:58:31
1723,20-30,2022-12-24 05:58:31
1725,20-30,2022-12-24 05:58:31
1729,18-28,2022-12-24 05:58:31
1737,30-35,2022-12-24 05:58:31
1710,20-30,2022-12-24 05:58:31
1740,20-30,2022-12-24 05:58:31
1739,20-30,2022-12-24 05:58:31
1733,20-35,2022-12-24 05:58:31
1735,20-30,2022-12-24 05:58:31
1742,20-30,2022-12-24 05:58:31
1720,20-30,2022-12-24 05:58:31
1730,20-30,2022-12-24 05:58:31
1738,25-35,2022-12-24 05:58:31
1744,20-30,2022-12-24 05:58:32
1745,20-30,2022-12-24 05:58:32
1747,18-28,2022-12-24 05:58:32
1746,20-30,2022-12-24 05:58:32
1750,20-35,2022-12-24 05:58:32
1756,18-28,2022-12-24 05:58:32
1743,20-30,2022-12-24 05:58:31
1753,18-28,2022-12-24 05:58:32
1724,20-30,2022-12-24 05:58:31
1758,18-28,2022-12-24 05:58:32
1762,20-30,2022-12-24 05:58:32
1765,18-28,2022-12-24 05:58:32
1766,18-28,2022-12-24 05:58:32
1759,18-28,2022-12-24 05:58:32
1764,20-30,2022-12-24 05:58:32
1769,21-31,2022-12-24 05:58:32
1771,23-38,2022-12-24 05:58:32
1770,20-35,2022-12-24 05:58:32
1777,13-23,2022-12-24 05:58:32
1785,13-23,2022-12-24 05:58:32
1780,20-20,2022-12-24 05:58:32
1790,20-30,2022-12-24 05:58:32
1802,25-40,2022-12-24 05:58:33
1788,15-25,2022-12-24 05:58:33
1800,23-38,2022-12-24 05:58:32
1801,23-38,2022-12-24 05:58:32
1815,25-35,2022-12-24 05:58:33
1803,23-38,2022-12-24 05:58:33
1816,20-30,2022-12-24 05:58:33
1804,23-38,2022-12-24 05:58:33
1820,23-38,2022-12-24 05:58:33
1814,20-30,2022-12-24 05:58:33
1821,15-30,2022-12-24 05:58:33
1840,20-30,2022-12-24 04:58:33
1791,20-20,2022-12-24 05:58:33
1825,23-38,2022-12-24 05:58:33
1845,20-30,2022-12-24 04:58:33
1826,25-35,2022-12-24 05:58:33
1847,20-30,2022-12-24 04:58:33
1852,30-45,2022-12-24 05:58:33
1853,30-45,2022-12-24 05:58:33
1846,22-32,2022-12-24 04:58:33
1854,30-35,2022-12-24 05:58:33
1860,23-38,2022-12-24 05:58:33
1871,20-35,2022-12-24 05:58:34
1862,23-38,2022-12-24 05:58:34
1851,23-38,2022-12-24 05:58:33
1873,35-45,2022-12-24 05:58:34
1865,25-31,2022-12-24 05:58:33
1842,15-25,2022-12-24 04:58:33
1876,20-30,2022-12-24 04:58:34
1872,23-33,2022-12-24 05:58:34
1882,15-25,2022-12-24 05:58:34
1901,15-30,2022-12-24 05:58:34
1875,23-38,2022-12-24 05:58:34
1859,15-30,2022-12-24 05:58:33
1900,20-30,2022-12-24 05:58:34
1861,23-38,2022-12-24 05:58:33
1903,13-23,2022-12-24 05:58:34
1883,20-30,2022-12-24 04:58:34
1908,19-34,2022-12-24 05:58:34
1905,20-30,2022-12-24 05:58:34
1907,30-40,2022-12-24 05:58:34
1904,25-40,2022-12-24 05:58:34
1909,12-27,2022-12-24 05:58:34
1910,15-30,2022-12-24 05:58:34
1911,15-30,2022-12-24 05:58:34
1914,15-30,2022-12-24 05:58:34
1912,15-30,2022-12-24 05:58:34
1913,12-27,2022-12-24 05:58:34
1915,20-20,2022-12-24 05:58:34
1919,20-30,2022-12-24 05:58:35
1922,15-30,2022-12-24 05:58:35
1920,20-30,2022-12-24 05:58:35
1918,22-37,2022-12-24 05:58:35
1923,20-35,2022-12-24 05:58:35
1916,20-20,2022-12-24 05:58:35
1921,15-30,2022-12-24 05:58:35
1930,19-29,2022-12-24 05:58:35
1933,20-30,2022-12-24 05:58:35
1927,17-32,2022-12-24 05:58:35
1929,15-25,2022-12-24 05:58:35
1924,18-33,2022-12-24 05:58:35
1935,20-35,2022-12-24 05:58:35
1932,25-40,2022-12-24 05:58:35
1937,20-35,2022-12-24 05:58:35
1938,20-30,2022-12-24 05:58:35
1931,20-31,2022-12-24 05:58:35
1917,20-20,2022-12-24 05:58:35
1934,15-30,2022-12-24 05:58:35
1928,30-40,2022-12-24 05:58:35
1936,16-26,2022-12-24 05:58:35
1940,25-35,2022-12-24 05:58:35
1942,19-29,2022-12-24 05:58:36
1939,20-30,2022-12-24 05:58:35
1944,12-27,2022-12-24 05:58:36
1943,20-20,2022-12-24 05:58:36
1926,20-35,2022-12-24 05:58:35
1945,15-30,2022-12-24 05:58:36
1946,17-32,2022-12-24 05:58:36
1948,18-28,2022-12-24 05:58:36
1941,18-28,2022-12-24 05:58:35
1949,20-35,2022-12-24 05:58:36
1951,30-40,2022-12-24 05:58:36
1950,20-31,2022-12-24 05:58:36
1947,13-28,2022-10-03 04:56:12
1956,22-37,2022-12-24 05:58:36
1954,20-35,2022-12-24 05:58:36
1953,20-31,2022-12-24 05:58:36
1952,19-29,2022-12-24 05:58:36
1957,18-33,2022-12-24 05:58:36
1960,20-35,2022-12-24 05:58:36
1955,20-30,2022-12-24 05:58:36
1958,19-29,2022-12-24 05:58:36
1964,20-30,2022-12-24 05:58:37
1962,15-30,2022-12-24 05:58:37
1968,13-23,2022-12-24 05:58:37
1967,,2022-12-24 05:59:05
1969,12-22,2022-12-24 05:58:37
1965,20-30,2022-12-24 05:58:37
1961,20-35,2022-12-24 05:58:36
1963,20-30,2022-12-24 05:58:37
1966,20-35,2022-12-24 05:58:37
1971,15-15,2022-12-24 05:58:37
1970,25-35,2022-12-24 05:58:37
1972,20-30,2022-12-24 05:58:37
1973,20-35,2022-12-24 05:58:37
1975,15-30,2022-12-24 05:58:37
1974,30-45,2022-12-24 05:58:37
1976,20-31,2022-12-24 05:58:37
1977,20-30,2022-12-24 05:58:37
1982,20-30,2022-12-24 05:58:37
1979,23-38,2022-12-24 05:58:37
1980,20-30,2022-12-24 05:58:37
1984,20-30,2022-12-24 05:58:37
1981,23-38,2022-12-24 05:58:37
1983,23-38,2022-12-24 05:58:37
1985,,2022-12-24 05:59:06
1986,30-40,2022-12-24 05:58:38
1990,20-35,2022-12-24 05:58:38
1988,20-35,2022-12-24 05:58:38
1993,20-30,2022-12-24 05:58:38
1989,20-30,2022-12-24 05:58:38
1994,20-30,2022-12-24 05:58:38
1995,20-30,2022-12-24 05:58:38
1987,14-29,2022-12-24 05:58:38
1997,20-20,2022-12-24 05:58:38
1991,13-23,2022-12-24 05:58:38
2000,20-30,2022-12-24 05:58:38
1992,30-40,2022-12-24 05:58:38
2001,25-35,2022-12-24 05:58:38
2006,15-25,2022-12-24 05:58:38
2005,25-35,2022-12-24 05:58:38
2007,20-30,2022-12-24 05:58:38
2008,17-27,2022-12-24 05:58:38
2014,25-40,2022-12-24 05:58:38
2010,20-30,2022-12-24 05:58:38
2015,11-21,2022-12-24 05:58:38
2017,30-40,2022-12-24 05:58:39
2013,19-29,2022-12-24 05:58:38
2003,15-25,2022-12-24 05:58:38
2020,20-30,2022-12-24 05:58:38
2018,18-28,2022-12-24 05:58:39
2023,20-30,2022-12-24 05:58:39
2024,17-27,2022-12-24 05:58:39
2025,17-27,2022-12-24 05:58:39
2021,20-22,2022-12-24 05:58:39
2022,20-26,2022-12-24 05:58:39
2026,20-30,2022-12-24 05:58:39
2030,13-28,2022-12-24 05:58:39
2031,25-35,2022-12-24 05:58:39
2027,20-30,2022-12-24 05:58:39
2033,15-30,2022-12-24 05:58:39
2032,14-29,2022-12-24 05:58:39
2036,15-25,2022-12-24 05:58:39
2035,15-30,2022-12-24 05:58:39
2029,15-30,2022-12-24 05:58:39
2034,15-30,2022-12-24 05:58:39
2037,15-30,2022-12-24 05:58:39
2040,20-30,2022-12-24 05:58:39
2042,20-35,2022-12-24 05:58:39
2041,24-39,2022-12-24 05:58:39
2043,,2022-12-24 05:59:08
2044,20-30,2022-12-24 05:58:40
2050,13-23,2022-12-24 05:58:40
2047,20-30,2022-12-24 05:58:40
2046,20-30,2022-12-24 05:58:40
2048,20-30,2022-12-24 05:58:40
2052,25-35,2022-12-24 05:58:40
2056,20-30,2022-12-24 05:58:40
2061,20-35,2022-12-24 05:58:40
2028,20-30,2022-12-24 05:58:39
2051,20-30,2022-12-24 05:58:40
2057,30-40,2022-12-24 05:58:40
2068,21-31,2022-12-24 05:58:41
2070,32-47,2022-12-24 05:58:41
2087,17-27,2022-12-24 05:58:41
2078,17-27,2022-12-24 05:58:41
2077,17-27,2022-12-24 05:58:41
2053,19-29,2022-12-24 05:58:40
2079,17-27,2022-12-24 05:58:41
2065,20-30,2022-12-24 05:58:40
2083,17-27,2022-12-24 05:58:41
2088,17-27,2022-12-24 05:58:41
2091,14-24,2022-12-24 05:58:41
2093,17-27,2022-12-24 05:58:41
2090,15-25,2022-12-24 05:58:41
2081,17-27,2022-12-24 05:58:41
2092,17-27,2022-12-24 05:58:41
2055,20-30,2022-12-24 05:58:40
2072,33-43,2022-12-24 05:58:41
2058,20-30,2022-12-24 05:58:40
2096,15-25,2022-12-24 05:58:41
2099,15-30,2022-12-24 05:58:41
2101,20-30,2022-12-24 05:58:41
2100,20-28,2022-12-24 05:58:42
2104,20-20,2022-12-24 05:58:41
2102,15-25,2022-12-24 05:58:41
2107,25-35,2022-12-24 05:58:41
2062,15-30,2022-12-24 05:58:40
